"","id","qid","dataset","plottype","response","cresponse","correct"
"101","R_dha3yxnSNHMTiza",1,"B","bar","1","1",TRUE
"102","R_9zbF9pVnDgKLogc",1,"B","bar","1","1",TRUE
"103","R_1Umw95YI8cv3DRG",1,"B","hammock","1","1",TRUE
"104","R_bsx1sOloTtKtSJu",1,"B","circos","1","1",TRUE
"105","R_6FmRiHnhkQsTeMk",1,"B","bar","1","1",TRUE
"106","R_42C16OPPjnYm8CM",1,"B","hammock","2","1",FALSE
"107","R_6m2qpZPOKpdyD9a",1,"B","circos","1","1",TRUE
"108","R_5sYZSfjLDJir2kI",1,"B","hammock","1","1",TRUE
"109","R_01a6HI55lPgLUd6",1,"B","hammock","1","1",TRUE
"110","R_9QDU9nFW3MfKHoU",1,"B","circos","1","1",TRUE
"111","R_1H707scKVBKDbuY",1,"B","circos","1","1",TRUE
"112","R_3qItOVB1m3rRIHO",1,"B","bar","1","1",TRUE
"113","R_a5XRod8QdXHdgiM",1,"B","bar","1","1",TRUE
"114","R_bP1eWMUqcLIi1rm",1,"B","hammock","1","1",TRUE
"115","R_3ZQvAmasceYQPQM",1,"B","circos","1","1",TRUE
"116","R_bvGXdKWl3ICupP6",1,"B","hammock","1","1",TRUE
"117","R_6Sw1XuYKHVRsEWU",1,"B","circos","1","1",TRUE
"118","R_4I64gDQSHH8ojze",1,"B","hammock","1","1",TRUE
"119","R_6Gnw4mQ6x4AVWII",1,"B","circos","1","1",TRUE
"120","R_3Kmgffq9P84Hqi8",1,"B","circos","1","1",TRUE
"121","R_8HaXTyDqjDiLelu",1,"B","bar","1","1",TRUE
"122","R_ekPM1Syz0w3SC9K",1,"B","bar","1","1",TRUE
"123","R_bQRG1H7frzNaEQs",1,"B","hammock","2","1",FALSE
"124","R_d0jsFdwwwPH4qm8",1,"B","bar","1","1",TRUE
"125","R_bIrefWwgM8eoCOw",1,"B","circos","1","1",TRUE
"126","R_bQosMSXWXg07Ljm",1,"B","circos","1","1",TRUE
"127","R_0O0VLA2fLGC5SAI",1,"B","bar","1","1",TRUE
"128","R_eQgihX6yHZzRODi",1,"B","circos","1","1",TRUE
"129","R_6EF1Vcw5fLiuBAo",1,"B","bar","1","1",TRUE
"130","R_9st8AEs2Cmddkiw",1,"B","hammock","1","1",TRUE
"131","R_eWm6JNzYLa6yOP2",1,"B","circos","1","1",TRUE
"132","R_6tm0XdCBcbPY71G",1,"B","circos","1","1",TRUE
"133","R_7ONSkE1nz3KoRFO",2,"B","hammock","1_3_4_2","1_4_3_2",FALSE
"134","R_dha3yxnSNHMTiza",2,"B","bar","1_4_3_2","1_4_3_2",TRUE
"135","R_9zbF9pVnDgKLogc",2,"B","bar","1_3_4_2","1_4_3_2",FALSE
"136","R_1Umw95YI8cv3DRG",2,"B","hammock","4_1_3_2","1_4_3_2",FALSE
"137","R_bsx1sOloTtKtSJu",2,"B","circos","1_4_3_2","1_4_3_2",TRUE
"138","R_6FmRiHnhkQsTeMk",2,"B","bar","1_4_2_3","1_4_3_2",FALSE
"139","R_42C16OPPjnYm8CM",2,"B","hammock","1_3_4_2","1_4_3_2",FALSE
"140","R_6m2qpZPOKpdyD9a",2,"B","circos","No Response","1_4_3_2",FALSE
"141","R_5sYZSfjLDJir2kI",2,"B","hammock","2_3_4_1","1_4_3_2",FALSE
"142","R_01a6HI55lPgLUd6",2,"B","hammock","No Response","1_4_3_2",FALSE
"143","R_9QDU9nFW3MfKHoU",2,"B","circos","No Response","1_4_3_2",FALSE
"144","R_1H707scKVBKDbuY",2,"B","circos","No Response","1_4_3_2",FALSE
"145","R_3qItOVB1m3rRIHO",2,"B","bar","1_4_3_2","1_4_3_2",TRUE
"146","R_a5XRod8QdXHdgiM",2,"B","bar","4_3_1_2","1_4_3_2",FALSE
"147","R_bP1eWMUqcLIi1rm",2,"B","hammock","1_3_4_2","1_4_3_2",FALSE
"148","R_3ZQvAmasceYQPQM",2,"B","circos","No Response","1_4_3_2",FALSE
"149","R_bvGXdKWl3ICupP6",2,"B","hammock","1_3_4_2","1_4_3_2",FALSE
"150","R_6Sw1XuYKHVRsEWU",2,"B","circos","1_4_3_2","1_4_3_2",TRUE
"151","R_4I64gDQSHH8ojze",2,"B","hammock","No Response","1_4_3_2",FALSE
"152","R_6Gnw4mQ6x4AVWII",2,"B","circos","1_4_3_2","1_4_3_2",TRUE
"153","R_3Kmgffq9P84Hqi8",2,"B","circos","1_2_4_3","1_4_3_2",FALSE
"154","R_8HaXTyDqjDiLelu",2,"B","bar","No Response","1_4_3_2",FALSE
"155","R_ekPM1Syz0w3SC9K",2,"B","bar","1_4_3_2","1_4_3_2",TRUE
"156","R_bQRG1H7frzNaEQs",2,"B","hammock","1_3_4_2","1_4_3_2",FALSE
"157","R_d0jsFdwwwPH4qm8",2,"B","bar","No Response","1_4_3_2",FALSE
"158","R_bIrefWwgM8eoCOw",2,"B","circos","1_3_4_2","1_4_3_2",FALSE
"159","R_bQosMSXWXg07Ljm",2,"B","circos","No Response","1_4_3_2",FALSE
"160","R_0O0VLA2fLGC5SAI",2,"B","bar","1_4_3_2","1_4_3_2",TRUE
"161","R_eQgihX6yHZzRODi",2,"B","circos","No Response","1_4_3_2",FALSE
"162","R_6EF1Vcw5fLiuBAo",2,"B","bar","1_4_3_2","1_4_3_2",TRUE
"163","R_9st8AEs2Cmddkiw",2,"B","hammock","1_3_4_2","1_4_3_2",FALSE
"164","R_eWm6JNzYLa6yOP2",2,"B","circos","1_2_4_3","1_4_3_2",FALSE
"165","R_6tm0XdCBcbPY71G",2,"B","circos","1_3_4_2","1_4_3_2",FALSE
"166","R_7ONSkE1nz3KoRFO",3,"B","hammock","1_4_2_2","1_1_2_1",FALSE
"167","R_dha3yxnSNHMTiza",3,"B","bar","4_1_2_1","1_1_2_1",FALSE
"168","R_9zbF9pVnDgKLogc",3,"B","bar","1_1_2_1","1_1_2_1",TRUE
"169","R_1Umw95YI8cv3DRG",3,"B","hammock","3_3_3_3","1_1_2_1",FALSE
"170","R_bsx1sOloTtKtSJu",3,"B","circos","1_2_2_1","1_1_2_1",FALSE
"171","R_6FmRiHnhkQsTeMk",3,"B","bar","1_2_1_2","1_1_2_1",FALSE
"172","R_42C16OPPjnYm8CM",3,"B","hammock","2_1_2_2","1_1_2_1",FALSE
"173","R_6m2qpZPOKpdyD9a",3,"B","circos","3_3_3_3","1_1_2_1",FALSE
"174","R_5sYZSfjLDJir2kI",3,"B","hammock","1_4_2_4","1_1_2_1",FALSE
"175","R_01a6HI55lPgLUd6",3,"B","hammock","3_3_3_3","1_1_2_1",FALSE
"176","R_9QDU9nFW3MfKHoU",3,"B","circos","3_3_3_3","1_1_2_1",FALSE
"177","R_1H707scKVBKDbuY",3,"B","circos","1_1_2_2","1_1_2_1",FALSE
"178","R_3qItOVB1m3rRIHO",3,"B","bar","1_2_2_1","1_1_2_1",FALSE
"179","R_a5XRod8QdXHdgiM",3,"B","bar","2_4_1_1","1_1_2_1",FALSE
"180","R_bP1eWMUqcLIi1rm",3,"B","hammock","1_4_2_2","1_1_2_1",FALSE
"181","R_3ZQvAmasceYQPQM",3,"B","circos","3_3_3_3","1_1_2_1",FALSE
"182","R_bvGXdKWl3ICupP6",3,"B","hammock","4_1_2_2","1_1_2_1",FALSE
"183","R_6Sw1XuYKHVRsEWU",3,"B","circos","1_1_2_4","1_1_2_1",FALSE
"184","R_4I64gDQSHH8ojze",3,"B","hammock","3_3_3_3","1_1_2_1",FALSE
"185","R_6Gnw4mQ6x4AVWII",3,"B","circos","1_2_4_1","1_1_2_1",FALSE
"186","R_3Kmgffq9P84Hqi8",3,"B","circos","3_3_3_3","1_1_2_1",FALSE
"187","R_8HaXTyDqjDiLelu",3,"B","bar","3_3_3_3","1_1_2_1",FALSE
"188","R_ekPM1Syz0w3SC9K",3,"B","bar","3_3_3_3","1_1_2_1",FALSE
"189","R_bQRG1H7frzNaEQs",3,"B","hammock","1_4_2_2","1_1_2_1",FALSE
"190","R_d0jsFdwwwPH4qm8",3,"B","bar","3_3_3_3","1_1_2_1",FALSE
"191","R_bIrefWwgM8eoCOw",3,"B","circos","1_1_2_1","1_1_2_1",TRUE
"192","R_bQosMSXWXg07Ljm",3,"B","circos","1_4_1_2","1_1_2_1",FALSE
"193","R_0O0VLA2fLGC5SAI",3,"B","bar","1_2_2_1","1_1_2_1",FALSE
"194","R_eQgihX6yHZzRODi",3,"B","circos","3_3_3_3","1_1_2_1",FALSE
"195","R_6EF1Vcw5fLiuBAo",3,"B","bar","2_2_2_2","1_1_2_1",FALSE
"196","R_9st8AEs2Cmddkiw",3,"B","hammock","2_4_2_2","1_1_2_1",FALSE
"197","R_eWm6JNzYLa6yOP2",3,"B","circos","1_3_2_1","1_1_2_1",FALSE
"198","R_6tm0XdCBcbPY71G",3,"B","circos","4_4_1_1","1_1_2_1",FALSE
"199","R_7ONSkE1nz3KoRFO",1,"C","circos","No Response","1_2_4_3",FALSE
"200","R_dha3yxnSNHMTiza",1,"C","hammock","4_1_2_3","1_2_4_3",FALSE
"201","R_9zbF9pVnDgKLogc",1,"C","circos","4_2_1_3","1_2_4_3",FALSE
"202","R_1Umw95YI8cv3DRG",1,"C","circos","4_2_1_3","1_2_4_3",FALSE
"203","R_bsx1sOloTtKtSJu",1,"C","bar","4_1_3_2","1_2_4_3",FALSE
"204","R_6FmRiHnhkQsTeMk",1,"C","circos","4_1_2_3","1_2_4_3",FALSE
"205","R_42C16OPPjnYm8CM",1,"C","bar","4_1_3_2","1_2_4_3",FALSE
"206","R_6m2qpZPOKpdyD9a",1,"C","bar","4_2_1_3","1_2_4_3",FALSE
"207","R_5sYZSfjLDJir2kI",1,"C","circos","4_2_1_3","1_2_4_3",FALSE
"208","R_01a6HI55lPgLUd6",1,"C","bar","No Response","1_2_4_3",FALSE
"209","R_9QDU9nFW3MfKHoU",1,"C","bar","No Response","1_2_4_3",FALSE
"210","R_1H707scKVBKDbuY",1,"C","hammock","2_1_4_3","1_2_4_3",FALSE
"211","R_3qItOVB1m3rRIHO",1,"C","circos","3_1_4_2","1_2_4_3",FALSE
"212","R_a5XRod8QdXHdgiM",1,"C","hammock","4_2_1_3","1_2_4_3",FALSE
"213","R_bP1eWMUqcLIi1rm",1,"C","circos","No Response","1_2_4_3",FALSE
"214","R_3ZQvAmasceYQPQM",1,"C","bar","4_2_3_1","1_2_4_3",FALSE
"215","R_bvGXdKWl3ICupP6",1,"C","circos","3_1_4_2","1_2_4_3",FALSE
"216","R_6Sw1XuYKHVRsEWU",1,"C","hammock","3_1_2_4","1_2_4_3",FALSE
"217","R_4I64gDQSHH8ojze",1,"C","circos","No Response","1_2_4_3",FALSE
"218","R_6Gnw4mQ6x4AVWII",1,"C","bar","4_1_3_2","1_2_4_3",FALSE
"219","R_3Kmgffq9P84Hqi8",1,"C","hammock","4_1_2_3","1_2_4_3",FALSE
"220","R_8HaXTyDqjDiLelu",1,"C","circos","No Response","1_2_4_3",FALSE
"221","R_ekPM1Syz0w3SC9K",1,"C","hammock","4_1_2_3","1_2_4_3",FALSE
"222","R_bQRG1H7frzNaEQs",1,"C","bar","4_1_3_2","1_2_4_3",FALSE
"223","R_d0jsFdwwwPH4qm8",1,"C","hammock","No Response","1_2_4_3",FALSE
"224","R_bIrefWwgM8eoCOw",1,"C","hammock","4_2_1_3","1_2_4_3",FALSE
"225","R_bQosMSXWXg07Ljm",1,"C","bar","4_1_3_2","1_2_4_3",FALSE
"226","R_0O0VLA2fLGC5SAI",1,"C","hammock","4_2_1_3","1_2_4_3",FALSE
"227","R_eQgihX6yHZzRODi",1,"C","hammock","No Response","1_2_4_3",FALSE
"228","R_6EF1Vcw5fLiuBAo",1,"C","circos","No Response","1_2_4_3",FALSE
"229","R_9st8AEs2Cmddkiw",1,"C","circos","3_1_4_2","1_2_4_3",FALSE
"230","R_eWm6JNzYLa6yOP2",1,"C","bar","4_1_3_2","1_2_4_3",FALSE
"231","R_6tm0XdCBcbPY71G",1,"C","bar","4_1_3_2","1_2_4_3",FALSE
"232","R_7ONSkE1nz3KoRFO",2,"C","circos","No Response","4_1_2_3",FALSE
"233","R_dha3yxnSNHMTiza",2,"C","hammock","2_1_4_3","4_1_2_3",FALSE
"234","R_9zbF9pVnDgKLogc",2,"C","circos","3_2_4_1","4_1_2_3",FALSE
"235","R_1Umw95YI8cv3DRG",2,"C","circos","2_3_1_4","4_1_2_3",FALSE
"236","R_bsx1sOloTtKtSJu",2,"C","bar","2_1_4_3","4_1_2_3",FALSE
"237","R_6FmRiHnhkQsTeMk",2,"C","circos","2_1_3_4","4_1_2_3",FALSE
"238","R_42C16OPPjnYm8CM",2,"C","bar","2_1_4_3","4_1_2_3",FALSE
"239","R_6m2qpZPOKpdyD9a",2,"C","bar","No Response","4_1_2_3",FALSE
"240","R_5sYZSfjLDJir2kI",2,"C","circos","2_1_4_3","4_1_2_3",FALSE
"241","R_01a6HI55lPgLUd6",2,"C","bar","No Response","4_1_2_3",FALSE
"242","R_9QDU9nFW3MfKHoU",2,"C","bar","No Response","4_1_2_3",FALSE
"243","R_1H707scKVBKDbuY",2,"C","hammock","2_1_4_3","4_1_2_3",FALSE
"244","R_3qItOVB1m3rRIHO",2,"C","circos","2_1_4_3","4_1_2_3",FALSE
"245","R_a5XRod8QdXHdgiM",2,"C","hammock","2_1_3_4","4_1_2_3",FALSE
"246","R_bP1eWMUqcLIi1rm",2,"C","circos","No Response","4_1_2_3",FALSE
"247","R_3ZQvAmasceYQPQM",2,"C","bar","2_1_4_3","4_1_2_3",FALSE
"248","R_bvGXdKWl3ICupP6",2,"C","circos","4_1_2_3","4_1_2_3",TRUE
"249","R_6Sw1XuYKHVRsEWU",2,"C","hammock","2_3_4_1","4_1_2_3",FALSE
"250","R_4I64gDQSHH8ojze",2,"C","circos","No Response","4_1_2_3",FALSE
"251","R_6Gnw4mQ6x4AVWII",2,"C","bar","2_1_4_3","4_1_2_3",FALSE
"252","R_3Kmgffq9P84Hqi8",2,"C","hammock","2_1_3_4","4_1_2_3",FALSE
"253","R_8HaXTyDqjDiLelu",2,"C","circos","No Response","4_1_2_3",FALSE
"254","R_ekPM1Syz0w3SC9K",2,"C","hammock","2_1_4_3","4_1_2_3",FALSE
"255","R_bQRG1H7frzNaEQs",2,"C","bar","2_1_4_3","4_1_2_3",FALSE
"256","R_d0jsFdwwwPH4qm8",2,"C","hammock","No Response","4_1_2_3",FALSE
"257","R_bIrefWwgM8eoCOw",2,"C","hammock","2_1_4_3","4_1_2_3",FALSE
"258","R_bQosMSXWXg07Ljm",2,"C","bar","2_1_4_3","4_1_2_3",FALSE
"259","R_0O0VLA2fLGC5SAI",2,"C","hammock","2_1_4_3","4_1_2_3",FALSE
"260","R_eQgihX6yHZzRODi",2,"C","hammock","No Response","4_1_2_3",FALSE
"261","R_6EF1Vcw5fLiuBAo",2,"C","circos","No Response","4_1_2_3",FALSE
"262","R_9st8AEs2Cmddkiw",2,"C","circos","3_1_4_2","4_1_2_3",FALSE
"263","R_eWm6JNzYLa6yOP2",2,"C","bar","2_1_4_3","4_1_2_3",FALSE
"264","R_6tm0XdCBcbPY71G",2,"C","bar","2_1_4_3","4_1_2_3",FALSE
"265","R_7ONSkE1nz3KoRFO",3,"C","circos","3","3",TRUE
"266","R_dha3yxnSNHMTiza",3,"C","hammock","2","3",FALSE
"267","R_9zbF9pVnDgKLogc",3,"C","circos","2","3",FALSE
"268","R_1Umw95YI8cv3DRG",3,"C","circos","3","3",TRUE
"269","R_bsx1sOloTtKtSJu",3,"C","bar","3","3",TRUE
"270","R_6FmRiHnhkQsTeMk",3,"C","circos","3","3",TRUE
"271","R_42C16OPPjnYm8CM",3,"C","bar","2","3",FALSE
"272","R_6m2qpZPOKpdyD9a",3,"C","bar","2","3",FALSE
"273","R_5sYZSfjLDJir2kI",3,"C","circos","2","3",FALSE
"274","R_01a6HI55lPgLUd6",3,"C","bar","3","3",TRUE
"275","R_9QDU9nFW3MfKHoU",3,"C","bar","4","3",FALSE
"276","R_1H707scKVBKDbuY",3,"C","hammock","3","3",TRUE
"277","R_3qItOVB1m3rRIHO",3,"C","circos","2","3",FALSE
"278","R_a5XRod8QdXHdgiM",3,"C","hammock","3","3",TRUE
"279","R_bP1eWMUqcLIi1rm",3,"C","circos","3","3",TRUE
"280","R_3ZQvAmasceYQPQM",3,"C","bar","3","3",TRUE
"281","R_bvGXdKWl3ICupP6",3,"C","circos","3","3",TRUE
"282","R_6Sw1XuYKHVRsEWU",3,"C","hammock","3","3",TRUE
"283","R_4I64gDQSHH8ojze",3,"C","circos","3","3",TRUE
"284","R_6Gnw4mQ6x4AVWII",3,"C","bar","3","3",TRUE
"285","R_3Kmgffq9P84Hqi8",3,"C","hammock","2","3",FALSE
"286","R_8HaXTyDqjDiLelu",3,"C","circos","3","3",TRUE
"287","R_ekPM1Syz0w3SC9K",3,"C","hammock","3","3",TRUE
"288","R_bQRG1H7frzNaEQs",3,"C","bar","2","3",FALSE
"289","R_d0jsFdwwwPH4qm8",3,"C","hammock","3","3",TRUE
"290","R_bIrefWwgM8eoCOw",3,"C","hammock","2","3",FALSE
"291","R_bQosMSXWXg07Ljm",3,"C","bar","3","3",TRUE
"292","R_0O0VLA2fLGC5SAI",3,"C","hammock","2","3",FALSE
"293","R_eQgihX6yHZzRODi",3,"C","hammock","3","3",TRUE
"294","R_6EF1Vcw5fLiuBAo",3,"C","circos","3","3",TRUE
"295","R_9st8AEs2Cmddkiw",3,"C","circos","2","3",FALSE
"296","R_eWm6JNzYLa6yOP2",3,"C","bar","3","3",TRUE
"297","R_6tm0XdCBcbPY71G",3,"C","bar","3","3",TRUE
